movieid,year,isEnglish,country,runningtime,genres,avg_rating,num_ratings,is_a_hit,number_actors,actor_quality,director_quality,director_revenue,director_number
1942758,4,T,USA,0,Adventure,2.5,62.0,0,few,low,low,high,single
1942787,4,T,USA,0,Drama,3.736842105263158,38.0,0,many,low,high,low,single
1942828,4,T,USA,0,Comedy,3.8333333333333335,318.0,1,few,high,high,high,single
1942898,4,T,USA,0,Drama,,,0,few,low,low,low,single
1943470,4,T,USA,0,Comedy,2.552980132450331,302.0,1,few,low,low,high,single
1943586,4,T,USA,1,Drama,3.310344827586207,29.0,0,few,low,low,low,single
1943718,4,T,USA,1,Adventure,3.603448275862069,232.0,1,many,high,high,high,single
1943961,2,T,USA,1,Action,3.415841584158416,101.0,0,few,high,high,low,single
1944457,4,T,USA,0,Comedy,5.0,1.0,0,few,high,high,low,single
1944510,4,T,UK,0,Crime,3.793103448275862,29.0,0,few,high,high,low,single
1944862,4,T,USA,0,Comedy,3.0,1.0,0,many,low,low,low,single
1944905,4,T,USA,1,Comedy,3.109022556390977,266.0,1,many,low,low,high,single
1945150,3,T,USA,1,Drama,3.066666666666667,435.0,1,many,low,high,high,single
1945248,4,T,USA,0,Documentary,4.444444444444445,27.0,0,many,high,high,low,single
1945371,4,F,France,0,Comedy,3.0,1.0,0,many,low,high,low,single
1945579,4,T,USA,1,Drama,3.152542372881356,354.0,1,many,low,high,high,single
1945589,4,T,USA,1,Comedy,3.2238805970149254,67.0,0,many,low,low,high,single
1945700,4,T,USA,1,Comedy,2.935483870967742,62.0,0,many,low,low,high,single
1945816,2,T,USA,1,Adventure,3.755102040816327,98.0,0,few,high,high,high,single
1945855,3,T,UK,1,Action,3.501176470588235,425.0,1,many,high,low,high,single
1946023,3,T,USA,0,Adventure,2.595744680851064,47.0,0,few,low,low,high,single
1946107,4,T,other,1,Drama,3.4,5.0,0,few,low,low,low,single
1946327,3,T,USA,1,Action,3.9758713136729225,373.0,1,few,high,high,low,single
1946379,3,T,UK,1,Action,3.3467336683417086,199.0,1,many,low,high,high,single
1946397,2,T,USA,0,Crime,4.0,31.0,0,few,high,high,low,single
1946463,4,T,USA,1,Comedy,2.74468085106383,235.0,1,many,low,low,high,single
1946562,2,T,USA,1,Other,3.78494623655914,93.0,0,few,high,high,low,single
1946595,4,T,other,0,Drama,3.0,2.0,0,many,low,low,low,single
1946833,4,T,USA,1,Drama,3.20335429769392,477.0,1,many,low,low,high,single
1946963,4,T,USA,1,Comedy,2.972762645914397,257.0,1,many,low,low,high,single
1947355,4,T,USA,1,Drama,4.087967183226983,2194.0,1,many,high,high,high,single
1948277,4,T,USA,1,Comedy,3.337579617834395,157.0,1,few,low,high,low,multiple
1948340,4,T,UK,1,Comedy,3.743714517437145,1233.0,1,many,high,high,high,single
1948561,4,T,USA,1,Drama,3.1262135922330097,103.0,0,many,low,low,low,single
1949144,3,T,USA,1,Documentary,3.8222222222222224,135.0,1,many,high,high,low,single
1949444,4,T,USA,0,Documentary,4.0,1.0,0,few,high,high,low,single
1949502,2,T,USA,0,Horror,3.975369458128079,406.0,1,few,high,high,low,single
1949508,4,T,USA,1,Drama,2.8975409836065573,244.0,1,many,high,high,high,single
1949526,2,T,USA,0,Other,3.1463414634146343,82.0,0,few,high,low,low,single
1949624,4,T,France,1,Drama,3.0625,16.0,0,many,high,low,low,single
1950286,3,T,USA,0,Comedy,3.1777777777777776,180.0,1,few,low,low,high,single
1950466,4,T,USA,1,Horror,2.181395348837209,215.0,1,few,low,low,high,single
1950577,4,T,USA,1,Comedy,3.604651162790698,43.0,0,many,high,high,low,single
1950688,4,T,USA,1,Adventure,2.5894736842105264,285.0,1,few,low,low,high,single
1950689,4,T,France,0,Adventure,2.017699115044248,113.0,0,many,low,low,high,single
1950690,4,T,USA,0,Adventure,1.7384615384615385,65.0,0,few,low,low,low,single
1950946,4,T,USA,1,Action,2.4177631578947367,304.0,1,many,low,low,high,single
1951003,4,T,USA,1,Comedy,3.644970414201184,169.0,1,many,high,high,low,single
1951279,4,T,UK,1,Comedy,3.303680981595092,326.0,1,many,low,high,high,single
1951390,3,T,UK,1,Crime,3.663157894736842,95.0,0,few,high,high,low,single
1951397,4,T,USA,1,Crime,3.7588306942752734,821.0,1,many,high,high,high,single
1951417,4,F,other,1,Comedy,3.7540983606557377,61.0,0,few,high,high,low,multiple
1951428,4,T,USA,1,Crime,4.0,93.0,0,many,high,high,high,single
1951931,4,T,USA,1,Comedy,3.655172413793104,319.0,1,few,low,high,high,single
1951984,3,T,USA,0,Horror,3.0410094637223977,317.0,1,few,low,low,low,single
1951988,3,T,USA,0,Horror,2.426900584795322,171.0,1,few,low,low,high,single
1951989,3,T,USA,0,Horror,1.979899497487437,199.0,1,few,low,low,high,single
1951990,4,T,USA,0,Horror,2.1538461538461537,91.0,0,few,low,low,high,single
1951991,4,T,USA,1,Horror,1.8383838383838385,99.0,0,few,low,low,high,single
1951993,4,T,USA,0,Horror,2.0789473684210527,114.0,0,many,low,low,high,single
1952001,3,T,USA,1,Horror,2.1775147928994083,169.0,1,many,low,low,high,single
1952054,4,T,USA,1,Comedy,3.806070826306914,593.0,1,many,high,low,high,single
1952201,4,T,USA,1,Comedy,2.734375,64.0,0,few,low,low,low,single
1952386,4,T,USA,1,Comedy,3.434640522875817,306.0,1,few,high,low,high,single
1952391,4,T,USA,1,Comedy,2.3015873015873014,63.0,0,few,low,low,high,single
1952490,4,T,USA,0,Drama,,,0,many,low,low,low,single
1952676,4,T,USA,1,Comedy,2.0,5.0,0,few,low,low,low,single
1952847,4,T,USA,1,Action,3.156455142231948,914.0,1,many,high,high,high,single
1952923,2,T,USA,1,Drama,4.096153846153846,364.0,1,few,high,high,high,single
1953106,3,T,UK,1,Action,3.889753566796368,771.0,1,few,high,high,high,single
1953354,4,T,USA,1,Comedy,2.814814814814815,54.0,0,many,low,low,high,single
1953362,4,T,USA,1,Documentary,3.25,8.0,0,few,high,high,low,single
1955153,4,T,UK,1,Drama,4.110845295055821,1254.0,1,many,high,high,high,single
1955207,1,T,USA,0,Action,3.0,1.0,0,few,low,low,low,single
1955231,4,T,USA,1,Documentary,3.571428571428572,7.0,0,many,low,low,low,single
1955340,2,T,USA,0,,3.257142857142857,35.0,0,few,high,high,high,multiple
1955728,4,T,UK,1,Comedy,3.41025641025641,39.0,0,many,low,high,low,single
1955747,3,T,USA,1,Comedy,3.64367816091954,174.0,1,few,high,high,low,single
1955750,4,T,USA,1,Comedy,2.95,240.0,1,many,low,high,high,single
1957176,3,T,USA,1,Comedy,2.979591836734694,49.0,0,few,low,low,high,single
1957184,4,T,USA,1,Action,3.052064631956912,557.0,1,many,low,high,high,single
1957472,4,F,other,0,Drama,3.142857142857143,14.0,0,few,high,high,low,single
1958267,4,T,USA,1,Adventure,3.7712796757382745,1727.0,1,many,high,low,high,single
1959117,3,T,UK,1,Documentary,4.141579731743666,671.0,1,many,high,high,high,single
1959300,4,T,USA,1,Crime,2.65,20.0,0,many,low,low,low,single
1960531,2,T,USA,1,Crime,4.096256684491979,187.0,1,few,high,high,high,single
1960768,4,T,USA,1,Drama,3.7100371747211898,1076.0,1,few,high,high,high,single
1961185,4,F,France,1,Comedy,3.45,60.0,0,many,low,low,low,single
1962315,4,T,USA,0,Documentary,,,0,many,low,low,low,single
1963038,2,T,USA,1,Drama,3.89010989010989,91.0,0,few,high,high,low,single
1963417,4,T,USA,0,Action,3.083044982698962,289.0,1,many,low,low,high,single
1963479,4,T,USA,1,Drama,3.066666666666667,45.0,0,few,low,low,high,single
1963756,4,F,France,1,Drama,3.235294117647059,17.0,0,many,high,high,low,single
1963794,4,T,USA,1,Drama,3.2758620689655173,87.0,0,many,low,low,high,single
1964069,4,T,USA,0,Documentary,3.3902439024390243,41.0,0,many,low,low,low,single
1964073,3,T,UK,1,Crime,3.4727272727272727,55.0,0,few,high,high,low,single
1964074,4,T,USA,1,Action,2.26,100.0,0,few,low,low,high,single
1964200,4,T,USA,0,Comedy,1.0,2.0,0,few,high,high,low,single
1964209,4,T,UK,1,Comedy,4.088235294117647,68.0,0,few,high,high,low,single
1964242,4,T,USA,1,Comedy,3.623893805309735,1356.0,1,many,high,low,high,single
1964339,4,T,USA,1,Drama,3.308641975308642,81.0,0,few,high,low,high,single
1964467,4,T,UK,0,Comedy,3.0,3.0,0,many,low,low,low,single
1964503,4,T,USA,1,Comedy,2.263157894736842,38.0,0,many,low,low,high,single
1965214,4,T,USA,1,Drama,3.49644128113879,1124.0,1,many,high,high,high,single
1965236,3,T,USA,1,Comedy,3.9059633027522938,2180.0,1,many,high,low,high,single
1965261,4,T,France,1,Action,3.843949044585987,314.0,1,many,high,high,low,single
1965516,4,T,USA,1,Action,2.9061946902654867,565.0,1,many,low,low,high,single
1965632,4,T,USA,1,Drama,3.506172839506173,162.0,1,many,low,high,high,single
1965850,3,T,USA,1,Drama,3.753846153846154,130.0,1,few,high,high,low,single
1966241,3,T,USA,1,Comedy,3.620320855614973,187.0,1,few,high,high,low,single
1966349,2,T,USA,1,Drama,4.009345794392523,107.0,0,few,high,high,low,single
1966580,4,T,other,1,Action,3.3063973063973062,297.0,1,many,low,low,high,single
1966583,4,F,other,0,Action,3.5128205128205128,273.0,1,few,high,low,high,single
1967074,4,T,USA,1,Comedy,2.6153846153846154,78.0,0,many,low,low,high,single
1967290,4,T,USA,0,Adventure,,,0,few,low,low,low,single
1967379,4,T,USA,1,Documentary,3.4790697674418603,430.0,1,many,high,high,high,single
1967389,4,T,USA,1,Drama,3.5118110236220472,127.0,0,many,high,high,low,single
1967955,4,T,USA,0,Comedy,3.2916666666666665,24.0,0,few,low,low,low,single
1968813,4,T,USA,1,Action,4.106029106029106,1924.0,1,many,high,high,high,single
1969187,2,T,USA,0,Drama,2.849056603773585,53.0,0,few,low,low,low,single
1969197,4,T,USA,1,Drama,3.884413309982487,571.0,1,few,high,low,high,single
1969753,4,T,USA,1,Crime,2.272727272727273,44.0,0,many,low,high,high,single
1969851,4,T,USA,1,Drama,4.193345323741007,1112.0,1,many,high,high,high,single
1969868,4,T,USA,1,Comedy,3.076923076923077,13.0,0,many,low,low,low,single
1970159,4,T,USA,1,Comedy,3.853185595567867,722.0,1,many,high,high,high,single
1970215,4,T,USA,0,Drama,3.2790697674418605,86.0,0,many,low,low,low,single
1970300,4,T,UK,0,Drama,3.2,10.0,0,few,high,high,low,single
1970338,1,T,USA,0,Comedy,3.7142857142857135,42.0,0,few,high,high,low,single
1970505,4,T,USA,0,Comedy,3.269230769230769,26.0,0,few,high,high,low,single
1970696,4,T,USA,0,Comedy,3.5384615384615383,52.0,0,few,high,high,low,single
1970861,4,T,USA,0,Drama,4.0,1.0,0,few,low,low,low,single
1971093,4,T,UK,1,Documentary,3.813148788927336,578.0,1,few,high,low,high,single
1971149,4,T,USA,1,Action,2.3246492985971945,499.0,1,many,low,low,high,single
1971464,2,T,USA,1,Comedy,3.73015873015873,63.0,0,few,high,high,low,single
1971706,2,F,other,1,Drama,3.318936877076412,301.0,1,few,high,low,low,single
1971707,3,F,other,1,Action,2.7768595041322315,121.0,0,few,low,low,low,multiple
1971712,4,F,other,1,Action,2.6923076923076925,143.0,1,few,low,low,high,single
1971929,4,T,other,0,Adventure,2.923076923076923,13.0,0,few,low,low,low,single
1972108,2,T,USA,0,Adventure,3.25,12.0,0,few,high,low,high,single
1972287,4,T,UK,1,Action,3.5405405405405403,888.0,1,few,high,high,high,single
1972324,3,T,UK,1,Action,3.971014492753623,897.0,1,few,high,high,high,single
1972807,4,T,USA,0,Comedy,2.183673469387755,49.0,0,many,low,low,high,single
1972854,3,T,USA,1,Action,2.9743150684931505,584.0,1,few,low,low,low,single
1972884,2,T,USA,1,Drama,3.997404844290657,1156.0,1,many,high,high,high,multiple
1973432,4,T,USA,1,Comedy,3.733826247689464,1082.0,1,many,high,high,high,single
1973625,4,T,USA,1,Drama,4.176356589147287,1548.0,1,many,high,low,high,single
1973808,4,T,USA,1,Comedy,2.96,25.0,0,many,low,low,high,single
1973922,4,T,USA,1,Documentary,4.275196137598069,1657.0,1,many,high,high,high,single
1974272,4,T,USA,0,Comedy,2.1,10.0,0,many,low,low,low,single
1974519,4,F,other,1,Drama,,,0,many,low,low,low,single
1974583,1,T,USA,0,,2.768292682926829,82.0,0,few,low,high,high,multiple
1974724,4,T,UK,0,Horror,2.774193548387097,62.0,0,few,low,low,low,single
1974984,4,F,other,1,Documentary,3.125,24.0,0,many,high,high,low,single
1975181,4,T,USA,1,Comedy,3.3768115942028984,69.0,0,many,low,low,low,single
1975609,4,T,USA,1,Crime,3.4884393063583814,346.0,1,many,high,high,high,single
1975664,2,T,USA,1,Drama,3.7857142857142856,84.0,0,few,high,high,low,single
1976109,3,T,USA,1,Drama,2.5,6.0,0,few,low,low,high,single
1976319,4,T,UK,0,Documentary,3.0454545454545454,22.0,0,many,high,high,low,single
1976454,4,T,USA,0,Horror,2.151898734177215,79.0,0,few,low,low,high,single
1976610,3,T,USA,1,Other,3.5777233782129745,817.0,1,many,high,low,high,single
1976612,3,T,USA,1,Comedy,1.963696369636964,303.0,1,many,low,low,high,single
1976643,3,T,USA,0,Comedy,3.555555555555556,9.0,0,few,low,low,low,single
1976777,4,T,USA,1,Drama,3.201520912547529,263.0,1,many,high,high,high,single
1977589,3,T,USA,1,Comedy,3.268041237113402,776.0,1,many,high,low,high,single
1977592,4,T,USA,1,Comedy,2.513440860215054,372.0,1,many,low,low,high,single
1977857,4,T,USA,0,Comedy,3.36734693877551,49.0,0,many,high,high,low,single
1978263,4,T,USA,0,Drama,3.372549019607843,51.0,0,many,low,low,low,single
1978309,4,T,USA,1,Action,3.813380281690141,1136.0,1,many,high,high,high,single
1978312,4,F,France,0,Comedy,3.8,5.0,0,many,low,low,low,single
1978415,4,T,USA,1,Comedy,3.953028972783143,2278.0,1,many,high,high,high,single
1978778,4,T,USA,1,Comedy,3.01673640167364,478.0,1,many,low,low,high,single
1978782,4,T,USA,1,Comedy,3.415327564894932,809.0,1,few,low,low,high,single
1979111,4,F,other,1,Comedy,3.375,8.0,0,many,high,high,low,multiple
1979164,1,T,USA,0,,,,0,many,high,high,high,multiple
1979447,3,T,USA,1,Drama,3.92,350.0,1,few,high,high,high,single
1979839,4,T,USA,1,Crime,2.74468085106383,47.0,0,many,low,high,high,single
1979883,4,T,USA,1,Drama,3.360655737704918,61.0,0,few,low,low,low,single
1980073,2,T,USA,0,Adventure,3.547008547008547,117.0,0,few,high,high,low,single
1980149,4,T,USA,0,Action,1.9,10.0,0,few,low,low,low,single
1980267,4,T,USA,1,Comedy,2.652173913043478,46.0,0,many,low,low,low,single
1980412,4,T,USA,1,Comedy,2.930327868852459,244.0,1,many,low,high,high,single
1981072,4,T,UK,0,Drama,,,0,few,low,low,low,single
1981170,2,T,USA,1,Comedy,3.792307692307692,260.0,1,few,high,high,low,single
1981506,3,T,USA,1,Documentary,3.69672131147541,122.0,0,few,high,high,high,single
1982133,3,T,USA,1,Comedy,2.5348837209302326,43.0,0,many,low,low,low,single
1982903,4,T,USA,1,Action,3.146417445482866,321.0,1,many,low,low,high,single
1983455,4,T,USA,0,Comedy,3.350561797752809,445.0,1,many,high,low,low,single
1983617,4,F,other,1,Action,3.075757575757576,66.0,0,many,low,low,high,single
1983859,4,T,USA,0,Comedy,3.202020202020202,198.0,1,many,low,low,high,single
1984278,3,T,USA,1,Horror,3.7134387351778657,506.0,1,few,high,high,high,single
1984283,4,T,USA,0,Horror,2.4108527131782944,129.0,1,many,low,low,high,single
1984284,4,T,USA,1,Horror,2.125984251968504,127.0,0,few,low,low,high,single
1984305,4,T,USA,0,Drama,2.6884422110552766,199.0,1,few,low,low,high,single
1984320,3,T,USA,0,Horror,2.753846153846154,195.0,1,many,low,low,high,single
1984323,3,T,USA,1,Horror,2.095238095238096,105.0,0,few,low,low,high,single
1984372,4,T,USA,1,Horror,2.360655737704918,183.0,1,few,low,low,high,single
1984593,4,F,other,0,Drama,3.466666666666667,15.0,0,few,high,high,low,single
1984751,1,T,France,0,Drama,3.5660377358490565,53.0,0,few,low,low,low,single
1984763,2,T,UK,1,Drama,3.8053097345132745,113.0,0,few,high,high,low,single
1984785,4,T,USA,1,Drama,3.728624535315985,269.0,1,few,high,high,high,single
1984792,4,T,UK,1,Crime,3.958115183246073,382.0,1,many,high,high,high,single
1984793,4,T,USA,1,Drama,3.458100558659218,179.0,1,many,low,low,low,single
1985138,4,F,other,1,Crime,3.8055555555555554,36.0,0,few,high,high,low,single
1985443,3,T,USA,1,Comedy,3.411764705882353,17.0,0,few,high,high,high,single
1985576,4,T,USA,1,Documentary,4.163043478260869,92.0,0,few,high,high,low,single
1985642,3,T,USA,1,Crime,3.7468879668049793,241.0,1,many,high,low,high,single
1985755,4,T,USA,0,Comedy,2.2954545454545454,176.0,1,many,low,low,high,single
1985793,2,T,USA,1,Crime,3.5,2.0,0,few,high,high,low,single
1986482,4,T,USA,1,Comedy,3.903125,320.0,1,many,high,high,low,single
1986845,4,T,USA,0,Comedy,3.526392961876833,682.0,1,many,high,low,high,single
1986848,2,T,UK,1,Comedy,2.0,1.0,0,few,low,low,low,single
1987088,4,F,other,0,Comedy,2.0,1.0,0,many,low,low,low,single
1987126,4,T,USA,1,Comedy,3.491891891891892,185.0,1,few,low,low,low,single
1987387,4,T,other,0,Comedy,3.727272727272727,11.0,0,many,high,high,low,single
1987547,4,T,USA,1,Action,2.655339805825242,206.0,1,few,low,low,high,single
1987607,4,T,USA,1,Action,2.7824074074074074,216.0,1,few,low,high,high,single
1988142,2,F,other,0,Other,2.0,1.0,0,many,low,low,low,single
1988380,3,T,USA,0,Comedy,4.164992826398852,697.0,1,few,high,high,high,single
1988448,4,T,USA,1,Comedy,3.0991735537190084,121.0,0,many,low,low,high,single
1988626,4,T,USA,1,Comedy,2.718120805369128,298.0,1,many,low,low,high,single
1988834,4,T,USA,1,Drama,,,0,few,low,low,low,single
1988919,2,T,USA,1,Comedy,4.089887640449438,356.0,1,few,high,high,low,single
1989616,4,T,USA,0,Comedy,2.4166666666666665,72.0,0,many,low,low,high,single
1989826,4,T,USA,0,Comedy,3.333333333333333,6.0,0,many,low,low,low,single
1990705,4,T,USA,1,Drama,3.38125,160.0,1,many,high,low,high,single
1990862,2,T,USA,0,Crime,3.4827586206896552,29.0,0,few,high,high,low,multiple
1991064,4,T,USA,0,Comedy,3.0,17.0,0,few,high,low,low,single
1991115,4,T,other,1,Drama,3.2857142857142856,14.0,0,many,low,low,low,single
1991269,4,T,USA,1,Comedy,,,0,few,low,low,low,single
1991544,4,T,other,1,Comedy,3.84,50.0,0,many,high,high,low,single
1991646,4,T,USA,1,Action,2.789473684210526,19.0,0,many,low,low,low,single
1991707,4,T,USA,1,Comedy,3.547945205479452,219.0,1,many,high,low,high,single
1991951,4,T,USA,1,Action,3.3466666666666667,300.0,1,many,high,high,high,single
1991969,4,T,USA,1,Comedy,2.945945945945946,74.0,0,many,low,high,high,single
1992100,3,T,USA,1,Documentary,4.357142857142857,14.0,0,few,high,high,low,single
1992217,4,T,USA,1,Action,3.87872340425532,940.0,1,many,high,high,high,single
1992315,4,T,USA,1,Comedy,3.815691158156912,803.0,1,many,high,low,high,single
1992335,4,T,France,1,Action,3.3142857142857145,105.0,0,many,high,high,high,single
1992344,4,T,other,1,Crime,2.6,5.0,0,few,high,low,low,single
1992374,3,T,USA,1,Comedy,3.620289855072464,345.0,1,many,high,high,high,multiple
1992459,4,F,other,1,Action,4.0,1.0,0,many,low,low,low,single
1992478,4,T,USA,1,Drama,2.851063829787234,47.0,0,many,low,low,high,single
1992502,4,T,other,1,Documentary,3.8676470588235294,476.0,1,many,high,high,high,single
1992538,4,T,USA,1,Drama,3.27027027027027,74.0,0,few,high,high,high,single
1992600,3,T,other,0,Adventure,3.546925566343042,618.0,1,many,low,low,low,single
1992682,4,T,USA,0,Documentary,2.6,30.0,0,many,high,high,low,single
1992774,4,F,UK,1,Drama,,,0,many,high,high,low,single
1993553,4,T,USA,0,Comedy,3.0,4.0,0,many,low,low,high,single
1993850,3,T,USA,1,Horror,2.264705882352941,34.0,0,few,low,low,low,single
1993913,3,T,USA,1,Drama,3.696969696969697,33.0,0,few,high,high,high,single
1994073,4,T,UK,1,Horror,2.802395209580838,167.0,1,few,high,low,high,single
1994279,4,T,other,1,Comedy,2.0980392156862746,51.0,0,many,low,low,low,single
1994414,4,T,UK,0,Horror,3.111111111111111,279.0,1,few,high,low,high,single
1994418,4,T,USA,0,Action,2.2298850574712645,87.0,0,many,low,low,low,single
1994419,4,T,USA,0,Horror,2.4722222222222223,216.0,1,few,low,low,low,multiple
1994580,3,T,UK,0,Adventure,3.77319587628866,291.0,1,few,high,low,high,single
1995071,4,T,USA,1,Comedy,3.4867256637168142,113.0,0,many,high,high,low,single
1995121,4,T,UK,1,Action,4.286384976525822,426.0,1,many,high,high,high,single
1995178,4,T,USA,0,Documentary,3.4794520547945207,219.0,1,many,high,high,high,single
1995179,4,T,USA,0,Crime,2.6,20.0,0,few,low,low,low,single
1996222,3,T,USA,1,Adventure,2.5384615384615383,104.0,0,many,low,low,high,single
1996223,3,T,USA,1,Action,2.5544554455445545,101.0,0,many,low,low,high,single
1996227,3,T,USA,0,Comedy,2.725925925925926,135.0,1,many,low,low,high,single
1996275,4,T,USA,0,Adventure,3.279317697228145,469.0,1,many,high,high,high,multiple
1996365,2,T,USA,0,Comedy,,,0,few,low,low,low,single
1996544,4,T,USA,1,Drama,2.4831460674157304,89.0,0,few,low,low,high,single
1996888,3,F,other,0,Other,3.0161290322580645,186.0,1,many,high,low,low,single
1998427,2,T,USA,0,Action,,,0,many,high,high,low,multiple
1998849,4,T,USA,1,Other,2.7111111111111112,45.0,0,few,low,low,high,single
1998864,4,T,UK,1,Drama,3.0416666666666665,48.0,0,few,low,low,low,single
1999026,4,T,USA,1,Drama,3.5037593984962405,133.0,1,few,low,low,low,single
1999095,4,T,UK,1,Comedy,3.928623452294246,1373.0,1,many,high,high,high,single
1999210,2,T,USA,0,Drama,4.178660049627792,403.0,1,few,high,high,high,single
1999241,3,T,USA,1,Action,3.883280757097792,317.0,1,few,high,high,high,single
1999308,4,T,USA,0,Comedy,2.17948717948718,78.0,0,many,low,low,high,single
1999581,4,T,USA,1,Drama,3.1702127659574466,141.0,1,many,low,low,high,single
1999623,4,T,UK,1,Action,3.8461538461538463,741.0,1,many,high,low,high,single
1999628,4,T,other,1,Action,2.123152709359606,203.0,1,many,low,low,high,single
1999634,4,T,USA,1,Action,2.414814814814815,135.0,1,many,low,low,high,single
1999986,4,T,UK,1,Documentary,3.825,160.0,1,many,high,high,low,single
2000130,3,T,USA,0,Comedy,1.0,1.0,0,few,low,low,low,single
2001271,2,T,USA,0,Comedy,4.249370277078086,397.0,1,few,high,high,low,single
2002121,3,F,France,1,Horror,3.2222222222222223,9.0,0,few,low,high,low,multiple
2002500,3,T,USA,1,Comedy,3.5902964959568733,371.0,1,many,high,high,high,single
2003554,4,T,USA,1,Comedy,2.8688524590163933,183.0,1,few,low,low,high,single
2003869,4,F,other,1,Other,4.0,1.0,0,many,high,high,low,single
2004240,2,T,USA,1,Comedy,3.88,275.0,1,few,high,high,low,single
2004435,4,T,USA,1,Action,2.5382716049382714,405.0,1,few,low,low,high,single
2004444,4,T,UK,1,Drama,3.5,16.0,0,few,high,high,low,single
2005166,4,T,USA,1,Comedy,2.488888888888889,90.0,0,many,low,low,high,single
2005202,4,T,USA,1,Comedy,3.232142857142857,56.0,0,many,low,low,high,single
2005242,4,T,USA,1,Drama,,,0,few,low,low,low,single
2005280,4,F,other,1,Drama,3.741935483870968,31.0,0,few,high,high,low,single
2005459,4,T,USA,1,Comedy,3.1348148148148147,675.0,1,many,high,low,high,single
2005467,4,T,USA,1,Adventure,2.3929618768328447,341.0,1,many,low,low,high,single
2005469,4,T,USA,1,Action,1.8766233766233769,154.0,1,few,low,low,high,single
2005550,4,T,USA,0,Comedy,2.5753424657534247,146.0,1,few,low,low,high,single
2005656,4,T,other,1,Documentary,3.5,2.0,0,few,low,low,low,single
2005831,4,T,USA,1,Comedy,3.404040404040404,99.0,0,few,low,low,high,single
2006016,4,T,USA,1,Comedy,3.3653846153846154,104.0,0,few,low,low,low,single
2006320,4,T,USA,0,Adventure,2.776119402985074,67.0,0,many,low,low,high,single
2006322,4,T,USA,0,Adventure,3.3461538461538463,234.0,1,many,high,high,high,single
2006660,4,T,USA,0,Adventure,2.257217847769029,381.0,1,many,low,low,high,single
2006702,4,T,USA,0,Adventure,2.933014354066985,1045.0,1,few,low,low,high,single
2006796,4,T,USA,1,Comedy,3.2195571955719555,542.0,1,many,low,low,high,single
2006907,4,F,other,0,Drama,4.015384615384615,65.0,0,few,high,high,low,single
2006992,4,F,other,0,Comedy,,,0,few,low,low,low,single
2007256,4,T,USA,1,Crime,2.72,75.0,0,many,low,low,high,single
2007295,4,F,other,1,Drama,,,0,few,high,high,low,single
2007305,4,T,USA,1,Adventure,3.018005540166205,722.0,1,many,low,high,high,single
2007465,4,T,USA,1,Documentary,4.19020979020979,715.0,1,many,high,high,low,single
2007522,4,T,UK,1,Drama,3.91864406779661,590.0,1,many,high,high,high,single
2007673,4,T,USA,1,Drama,2.994832041343669,387.0,1,few,low,low,high,single
2008297,3,T,UK,0,Horror,2.647058823529412,17.0,0,few,low,low,low,single
2008830,4,T,USA,0,,,,0,many,high,high,high,multiple
2009281,3,T,USA,0,Action,2.833333333333333,42.0,0,many,low,low,low,single
2009507,4,T,USA,0,Action,2.795811518324608,573.0,1,many,low,high,high,single
2010080,4,T,other,1,Comedy,2.772727272727273,22.0,0,many,low,low,low,single
2010339,4,T,USA,0,Comedy,2.8855421686746987,166.0,1,few,low,low,high,single
2010351,4,T,USA,1,Comedy,2.56,50.0,0,few,low,low,high,single
2010417,4,T,USA,0,Comedy,2.25242718446602,103.0,0,few,low,low,high,single
2010432,4,T,USA,1,Comedy,2.818713450292398,171.0,1,many,low,low,high,single
2010439,4,T,USA,0,Comedy,1.96875,64.0,0,many,low,low,high,multiple
2010442,4,T,USA,1,Comedy,1.736842105263158,38.0,0,many,low,low,high,single
2010567,2,T,USA,0,Other,2.871794871794872,39.0,0,few,low,low,low,single
2010591,2,T,USA,0,Other,3.1923076923076925,52.0,0,few,low,low,low,single
2010811,3,T,USA,0,Horror,3.2291666666666665,96.0,0,few,high,high,low,single
2010812,4,T,USA,1,Horror,2.30791788856305,341.0,1,few,low,low,high,single
2010861,4,T,USA,1,Comedy,2.9130434782608696,138.0,1,many,low,low,high,single
2011220,2,T,USA,1,Drama,4.02803738317757,107.0,0,few,high,high,low,single
2011327,3,T,UK,1,Comedy,3.2432432432432434,37.0,0,few,high,low,high,single
2011538,4,T,USA,1,Drama,2.7857142857142856,140.0,1,many,low,low,high,single
2011835,4,T,USA,0,Comedy,2.5357142857142856,84.0,0,many,low,low,high,single
2012189,4,T,USA,1,Comedy,3.108433734939759,166.0,1,many,low,low,high,single
2012308,3,T,USA,0,Comedy,2.5625,32.0,0,many,low,low,low,single
2012468,4,T,USA,1,Action,2.0990783410138247,434.0,1,many,low,low,high,single
2012474,4,T,UK,1,Drama,3.7291666666666665,480.0,1,many,high,high,high,single
2012514,4,T,UK,0,Horror,1.7659574468085106,47.0,0,many,low,low,low,single
2013009,4,F,other,0,Action,2.8,5.0,0,many,high,high,low,single
2013180,3,T,USA,1,Drama,4.021505376344086,279.0,1,few,high,high,low,single
2013370,4,T,USA,0,Comedy,2.6,20.0,0,few,low,low,low,single
2013847,4,T,UK,1,Comedy,2.7857142857142856,14.0,0,many,high,high,low,single
2014240,4,F,other,1,Action,3.443859649122807,570.0,1,many,high,low,high,single
2014741,4,F,other,1,Drama,4.344262295081967,61.0,0,few,high,high,low,single
